"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"5.41343669250646","0.0","0.18472553699284008","0.0","1","1","8","false","RP4-756G23.5","11.0","0","1","0","0.8838569291445669","false","0","RP4-756G23.5","0","0.0","lncRNA"
"5.5633074935400515","0.0","0.17974918718067812","0.0","1","1","8","false","CTD-2619J13.19","3.0","0","1","0","0.8799129606963144","false","0","CTD-2619J13.19","0","0.0","lncRNA"
"4.870801033591731","0.0","0.2053050397877984","0.0","1","1","7","false","RP11-96L7.2","7.0","0","1","0","0.8981368149054807","false","0","RP11-96L7.2","0","0.0","lncRNA"
"5.0671834625323","0.0","0.19734829168791435","0.0","1","1","7","false","AC010524.2","4.0","0","1","0","0.89296885624915","false","0","AC010524.2","0","0.0","lncRNA"
"4.416020671834626","0.0","0.22644821533060266","0.0","1","1","6","false","CTD-3193O13.1","21.0","0","1","0","0.9101047191622468","false","0","CTD-3193O13.1","0","0.0","lncRNA"
"4.447028423772609","0.0021364213981179465","0.22486926205694366","0.0","2","2","8","false","RP5-1171I10.5","11.5","0","2","0","0.9092887256901946","false","0","RP5-1171I10.5","4482","0.525","lncRNA"
"4.984496124031008","0.0","0.2006220839813375","0.0","1","1","7","false","AC005324.6","8.0","0","1","0","0.8951448388412891","false","0","AC005324.6","0","0.0","lncRNA"
"5.196382428940568","0.0","0.19244157135753356","0.0","1","1","8","false","RP11-474P2.6","5.0","0","1","0","0.8895688834489325","false","0","RP11-474P2.6","0","0.0","lncRNA"
"5.0671834625323","0.0","0.19734829168791435","0.0","1","1","7","false","FENDRR","4.0","0","1","0","0.89296885624915","false","0","FENDRR","0","0.0","lncRNA"
"5.258397932816537","0.0","0.19017199017199019","0.0","1","1","8","false","RP1-68D18.2","6.0","0","1","0","0.887936896504828","false","0","RP1-68D18.2","0","0.0","lncRNA"
"5.108527131782946","0.0","0.19575113808801214","0.0","1","1","8","false","RP11-849H4.4","19.0","0","1","0","0.8918808649530803","false","0","RP11-849H4.4","0","0.0","lncRNA"
"5.501291989664082","0.0","0.1817754814466886","0.0","1","1","8","false","RP11-69I8.2","15.0","0","1","0","0.8815449476404189","false","0","RP11-69I8.2","0","0.0","lncRNA"
"5.108527131782946","0.0","0.19575113808801214","0.0","1","1","8","false","RP11-504P24.8","19.0","0","1","0","0.8918808649530803","false","0","RP11-504P24.8","0","0.0","lncRNA"
"5.8062015503875966","0.0","0.17222963951935916","0.0","1","1","8","false","CAMTA1-IT1","7.0","0","1","0","0.8735210118319053","false","0","CAMTA1-IT1","0","0.0","lncRNA"
